kernel,architecture,method,status,normal_completion,success,legal,ii,route_cost,compile_wall_seconds,routing_attempts,parent_solves,child_solves,cache_hits,cache_misses,termination,scorer_rejection_reasons,work_id,result_file
array_cond,A1_stdnoc4x4,flow_top4,VALID_MAPPING_FAILURE,True,False,False,4,,57.30151113495231,2299,4,0,4,0,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='user_limit', error=''"": 4}",array_cond__A1_stdnoc4x4__flow_top4__0__f26582ae8a4fde2e,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_cond__A1_stdnoc4x4__flow_top4__0__f26582ae8a4fde2e.json
trmm,A0_hycube4x4,flow_top4,DONE,True,True,True,4,71.0,958.5981181561947,1195,24,96,39,81,DONE,{},trmm__A0_hycube4x4__flow_top4__0__996288f769f76aff,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/trmm__A0_hycube4x4__flow_top4__0__996288f769f76aff.json
array_cond,A2_hycube4x4_mem_variant,flow_top4,VALID_MAPPING_FAILURE,True,False,False,4,,106.09685911238194,1866,4,0,4,0,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='user_limit', error=''"": 4}",array_cond__A2_hycube4x4_mem_variant__flow_top4__0__54894c45a72d5894,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_cond__A2_hycube4x4_mem_variant__flow_top4__0__54894c45a72d5894.json
fix_fft,A3_hycube8x8,flow_top4,VALID_MAPPING_FAILURE,True,False,False,,,,,,,,,NO_LEGAL_ACTION,{},fix_fft__A3_hycube8x8__flow_top4__0__ce0642112026ef32,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/fix_fft__A3_hycube8x8__flow_top4__0__ce0642112026ef32.json
hpcg,A0_hycube4x4,flow_top4,VALID_MAPPING_FAILURE,True,False,False,4,,91.55612811073661,1852,4,0,4,0,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='infeasible', error='no legal temporal native route edges for 10|ADD|3|3||0|2068->20|LS|4|4||1|2'"": 4}",hpcg__A0_hycube4x4__flow_top4__0__d7747b5e31353925,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/hpcg__A0_hycube4x4__flow_top4__0__d7747b5e31353925.json
trmm,A1_stdnoc4x4,flow_top4,DONE,True,True,True,4,72.0,1022.4811851941049,1611,24,96,45,75,DONE,{},trmm__A1_stdnoc4x4__flow_top4__0__cb31b8a55ff82f63,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/trmm__A1_stdnoc4x4__flow_top4__0__cb31b8a55ff82f63.json
hpcg,A1_stdnoc4x4,flow_top4,VALID_MAPPING_FAILURE,True,False,False,5,,60.767801217734814,2347,4,0,4,0,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='user_limit', error=''"": 4}",hpcg__A1_stdnoc4x4__flow_top4__0__922f404d94605208,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/hpcg__A1_stdnoc4x4__flow_top4__0__922f404d94605208.json
trmm,A2_hycube4x4_mem_variant,flow_top4,DONE,True,True,True,4,71.0,1002.8135183304548,1195,24,96,39,81,DONE,{},trmm__A2_hycube4x4_mem_variant__flow_top4__0__69c635851404457f,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/trmm__A2_hycube4x4_mem_variant__flow_top4__0__69c635851404457f.json
array_add,A3_hycube8x8,flow_top4,TIMEOUT,False,False,,,,,,,,,,,{},array_add__A3_hycube8x8__flow_top4__0__ed94ac29db3b9f2b,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_add__A3_hycube8x8__flow_top4__0__ed94ac29db3b9f2b.json
array_cond,A0_hycube4x4,flow_top4,VALID_MAPPING_FAILURE,True,False,False,4,,109.09503941610456,1866,4,0,4,0,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='user_limit', error=''"": 4}",array_cond__A0_hycube4x4__flow_top4__0__e4416f2c4aee7a41,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_cond__A0_hycube4x4__flow_top4__0__e4416f2c4aee7a41.json
